Year,Man marriage rate,Woman marriage age,,,
1990,26.5,24.3,,,
1991,26.7,24.5,,,
1992,26.9,24.7,,,
1993,27.0,24.8,,,
1994,27.2,25.1,,,
1995,27.3,25.3,,,
1996,27.6,25.7,,,
1997,27.8,25.9,,,
1998,27.9,26.2,,,
1999,28.2,26.4,,,
2000,28.5,26.7,,,
2001,28.7,26.9,,,
2002,29.0,27.1,,,
2003,29.2,27.3,,,
2004,29.4,27.5,,,
2005,29.5,27.6,,,
2006,29.6,27.6,,,
2007,29.6,27.6,,,
2008,29.6,27.7,,,
2009,29.6,27.7,,,
2010,29.6,27.9,,,
2011,29.7,28.0,,,
2012,29.8,28.1,,,
2013,29.9,28.3,,,
2014,30.0,28.4,,,
2015,30.1,28.5,,,
2016,30.3,28.7,,,
2017,30.4,28.8,,,
