"","Entity","Code","Year","type","number"
"1","World","OWID_WRL",1791,"Number of countries where homosexuality is legal",3
"2","World","OWID_WRL",1791,"Number of countries where homosexuality is illlegal",198
"3","World","OWID_WRL",1792,"Number of countries where homosexuality is legal",3
"4","World","OWID_WRL",1792,"Number of countries where homosexuality is illlegal",198
"5","World","OWID_WRL",1793,"Number of countries where homosexuality is legal",4
"6","World","OWID_WRL",1793,"Number of countries where homosexuality is illlegal",197
"7","World","OWID_WRL",1794,"Number of countries where homosexuality is legal",4
"8","World","OWID_WRL",1794,"Number of countries where homosexuality is illlegal",197
"9","World","OWID_WRL",1795,"Number of countries where homosexuality is legal",5
"10","World","OWID_WRL",1795,"Number of countries where homosexuality is illlegal",196
"11","World","OWID_WRL",1796,"Number of countries where homosexuality is legal",5
"12","World","OWID_WRL",1796,"Number of countries where homosexuality is illlegal",196
"13","World","OWID_WRL",1797,"Number of countries where homosexuality is legal",5
"14","World","OWID_WRL",1797,"Number of countries where homosexuality is illlegal",196
"15","World","OWID_WRL",1798,"Number of countries where homosexuality is legal",5
"16","World","OWID_WRL",1798,"Number of countries where homosexuality is illlegal",196
"17","World","OWID_WRL",1799,"Number of countries where homosexuality is legal",5
"18","World","OWID_WRL",1799,"Number of countries where homosexuality is illlegal",196
"19","World","OWID_WRL",1800,"Number of countries where homosexuality is legal",5
"20","World","OWID_WRL",1800,"Number of countries where homosexuality is illlegal",196
"21","World","OWID_WRL",1801,"Number of countries where homosexuality is legal",5
"22","World","OWID_WRL",1801,"Number of countries where homosexuality is illlegal",196
"23","World","OWID_WRL",1802,"Number of countries where homosexuality is legal",5
"24","World","OWID_WRL",1802,"Number of countries where homosexuality is illlegal",196
"25","World","OWID_WRL",1803,"Number of countries where homosexuality is legal",5
"26","World","OWID_WRL",1803,"Number of countries where homosexuality is illlegal",196
"27","World","OWID_WRL",1804,"Number of countries where homosexuality is legal",6
"28","World","OWID_WRL",1804,"Number of countries where homosexuality is illlegal",195
"29","World","OWID_WRL",1805,"Number of countries where homosexuality is legal",6
"30","World","OWID_WRL",1805,"Number of countries where homosexuality is illlegal",195
"31","World","OWID_WRL",1806,"Number of countries where homosexuality is legal",6
"32","World","OWID_WRL",1806,"Number of countries where homosexuality is illlegal",195
"33","World","OWID_WRL",1807,"Number of countries where homosexuality is legal",6
"34","World","OWID_WRL",1807,"Number of countries where homosexuality is illlegal",195
"35","World","OWID_WRL",1808,"Number of countries where homosexuality is legal",6
"36","World","OWID_WRL",1808,"Number of countries where homosexuality is illlegal",195
"37","World","OWID_WRL",1809,"Number of countries where homosexuality is legal",6
"38","World","OWID_WRL",1809,"Number of countries where homosexuality is illlegal",195
"39","World","OWID_WRL",1810,"Number of countries where homosexuality is legal",6
"40","World","OWID_WRL",1810,"Number of countries where homosexuality is illlegal",195
"41","World","OWID_WRL",1811,"Number of countries where homosexuality is legal",8
"42","World","OWID_WRL",1811,"Number of countries where homosexuality is illlegal",193
"43","World","OWID_WRL",1812,"Number of countries where homosexuality is legal",8
"44","World","OWID_WRL",1812,"Number of countries where homosexuality is illlegal",193
"45","World","OWID_WRL",1813,"Number of countries where homosexuality is legal",8
"46","World","OWID_WRL",1813,"Number of countries where homosexuality is illlegal",193
"47","World","OWID_WRL",1814,"Number of countries where homosexuality is legal",8
"48","World","OWID_WRL",1814,"Number of countries where homosexuality is illlegal",193
"49","World","OWID_WRL",1815,"Number of countries where homosexuality is legal",8
"50","World","OWID_WRL",1815,"Number of countries where homosexuality is illlegal",193
"51","World","OWID_WRL",1816,"Number of countries where homosexuality is legal",8
"52","World","OWID_WRL",1816,"Number of countries where homosexuality is illlegal",193
"53","World","OWID_WRL",1817,"Number of countries where homosexuality is legal",8
"54","World","OWID_WRL",1817,"Number of countries where homosexuality is illlegal",193
"55","World","OWID_WRL",1818,"Number of countries where homosexuality is legal",8
"56","World","OWID_WRL",1818,"Number of countries where homosexuality is illlegal",193
"57","World","OWID_WRL",1819,"Number of countries where homosexuality is legal",8
"58","World","OWID_WRL",1819,"Number of countries where homosexuality is illlegal",193
"59","World","OWID_WRL",1820,"Number of countries where homosexuality is legal",8
"60","World","OWID_WRL",1820,"Number of countries where homosexuality is illlegal",193
"61","World","OWID_WRL",1821,"Number of countries where homosexuality is legal",8
"62","World","OWID_WRL",1821,"Number of countries where homosexuality is illlegal",193
"63","World","OWID_WRL",1822,"Number of countries where homosexuality is legal",10
"64","World","OWID_WRL",1822,"Number of countries where homosexuality is illlegal",191
"65","World","OWID_WRL",1823,"Number of countries where homosexuality is legal",10
"66","World","OWID_WRL",1823,"Number of countries where homosexuality is illlegal",191
"67","World","OWID_WRL",1824,"Number of countries where homosexuality is legal",10
"68","World","OWID_WRL",1824,"Number of countries where homosexuality is illlegal",191
"69","World","OWID_WRL",1825,"Number of countries where homosexuality is legal",10
"70","World","OWID_WRL",1825,"Number of countries where homosexuality is illlegal",191
"71","World","OWID_WRL",1826,"Number of countries where homosexuality is legal",10
"72","World","OWID_WRL",1826,"Number of countries where homosexuality is illlegal",191
"73","World","OWID_WRL",1827,"Number of countries where homosexuality is legal",10
"74","World","OWID_WRL",1827,"Number of countries where homosexuality is illlegal",191
"75","World","OWID_WRL",1828,"Number of countries where homosexuality is legal",10
"76","World","OWID_WRL",1828,"Number of countries where homosexuality is illlegal",191
"77","World","OWID_WRL",1829,"Number of countries where homosexuality is legal",10
"78","World","OWID_WRL",1829,"Number of countries where homosexuality is illlegal",191
"79","World","OWID_WRL",1830,"Number of countries where homosexuality is legal",11
"80","World","OWID_WRL",1830,"Number of countries where homosexuality is illlegal",190
"81","World","OWID_WRL",1831,"Number of countries where homosexuality is legal",12
"82","World","OWID_WRL",1831,"Number of countries where homosexuality is illlegal",189
"83","World","OWID_WRL",1832,"Number of countries where homosexuality is legal",13
"84","World","OWID_WRL",1832,"Number of countries where homosexuality is illlegal",188
"85","World","OWID_WRL",1833,"Number of countries where homosexuality is legal",13
"86","World","OWID_WRL",1833,"Number of countries where homosexuality is illlegal",188
"87","World","OWID_WRL",1834,"Number of countries where homosexuality is legal",13
"88","World","OWID_WRL",1834,"Number of countries where homosexuality is illlegal",188
"89","World","OWID_WRL",1835,"Number of countries where homosexuality is legal",13
"90","World","OWID_WRL",1835,"Number of countries where homosexuality is illlegal",188
"91","World","OWID_WRL",1836,"Number of countries where homosexuality is legal",14
"92","World","OWID_WRL",1836,"Number of countries where homosexuality is illlegal",187
"93","World","OWID_WRL",1837,"Number of countries where homosexuality is legal",14
"94","World","OWID_WRL",1837,"Number of countries where homosexuality is illlegal",187
"95","World","OWID_WRL",1838,"Number of countries where homosexuality is legal",14
"96","World","OWID_WRL",1838,"Number of countries where homosexuality is illlegal",187
"97","World","OWID_WRL",1839,"Number of countries where homosexuality is legal",14
"98","World","OWID_WRL",1839,"Number of countries where homosexuality is illlegal",187
"99","World","OWID_WRL",1840,"Number of countries where homosexuality is legal",14
"100","World","OWID_WRL",1840,"Number of countries where homosexuality is illlegal",187
"101","World","OWID_WRL",1841,"Number of countries where homosexuality is legal",14
"102","World","OWID_WRL",1841,"Number of countries where homosexuality is illlegal",187
"103","World","OWID_WRL",1842,"Number of countries where homosexuality is legal",14
"104","World","OWID_WRL",1842,"Number of countries where homosexuality is illlegal",187
"105","World","OWID_WRL",1843,"Number of countries where homosexuality is legal",14
"106","World","OWID_WRL",1843,"Number of countries where homosexuality is illlegal",187
"107","World","OWID_WRL",1844,"Number of countries where homosexuality is legal",14
"108","World","OWID_WRL",1844,"Number of countries where homosexuality is illlegal",187
"109","World","OWID_WRL",1845,"Number of countries where homosexuality is legal",14
"110","World","OWID_WRL",1845,"Number of countries where homosexuality is illlegal",187
"111","World","OWID_WRL",1846,"Number of countries where homosexuality is legal",14
"112","World","OWID_WRL",1846,"Number of countries where homosexuality is illlegal",187
"113","World","OWID_WRL",1847,"Number of countries where homosexuality is legal",14
"114","World","OWID_WRL",1847,"Number of countries where homosexuality is illlegal",187
"115","World","OWID_WRL",1848,"Number of countries where homosexuality is legal",14
"116","World","OWID_WRL",1848,"Number of countries where homosexuality is illlegal",187
"117","World","OWID_WRL",1849,"Number of countries where homosexuality is legal",14
"118","World","OWID_WRL",1849,"Number of countries where homosexuality is illlegal",187
"119","World","OWID_WRL",1850,"Number of countries where homosexuality is legal",14
"120","World","OWID_WRL",1850,"Number of countries where homosexuality is illlegal",187
"121","World","OWID_WRL",1851,"Number of countries where homosexuality is legal",14
"122","World","OWID_WRL",1851,"Number of countries where homosexuality is illlegal",187
"123","World","OWID_WRL",1852,"Number of countries where homosexuality is legal",14
"124","World","OWID_WRL",1852,"Number of countries where homosexuality is illlegal",187
"125","World","OWID_WRL",1853,"Number of countries where homosexuality is legal",14
"126","World","OWID_WRL",1853,"Number of countries where homosexuality is illlegal",187
"127","World","OWID_WRL",1854,"Number of countries where homosexuality is legal",14
"128","World","OWID_WRL",1854,"Number of countries where homosexuality is illlegal",187
"129","World","OWID_WRL",1855,"Number of countries where homosexuality is legal",14
"130","World","OWID_WRL",1855,"Number of countries where homosexuality is illlegal",187
"131","World","OWID_WRL",1856,"Number of countries where homosexuality is legal",14
"132","World","OWID_WRL",1856,"Number of countries where homosexuality is illlegal",187
"133","World","OWID_WRL",1857,"Number of countries where homosexuality is legal",14
"134","World","OWID_WRL",1857,"Number of countries where homosexuality is illlegal",187
"135","World","OWID_WRL",1858,"Number of countries where homosexuality is legal",15
"136","World","OWID_WRL",1858,"Number of countries where homosexuality is illlegal",186
"137","World","OWID_WRL",1859,"Number of countries where homosexuality is legal",15
"138","World","OWID_WRL",1859,"Number of countries where homosexuality is illlegal",186
"139","World","OWID_WRL",1860,"Number of countries where homosexuality is legal",15
"140","World","OWID_WRL",1860,"Number of countries where homosexuality is illlegal",186
"141","World","OWID_WRL",1861,"Number of countries where homosexuality is legal",15
"142","World","OWID_WRL",1861,"Number of countries where homosexuality is illlegal",186
"143","World","OWID_WRL",1862,"Number of countries where homosexuality is legal",15
"144","World","OWID_WRL",1862,"Number of countries where homosexuality is illlegal",186
"145","World","OWID_WRL",1863,"Number of countries where homosexuality is legal",15
"146","World","OWID_WRL",1863,"Number of countries where homosexuality is illlegal",186
"147","World","OWID_WRL",1864,"Number of countries where homosexuality is legal",15
"148","World","OWID_WRL",1864,"Number of countries where homosexuality is illlegal",186
"149","World","OWID_WRL",1865,"Number of countries where homosexuality is legal",15
"150","World","OWID_WRL",1865,"Number of countries where homosexuality is illlegal",186
"151","World","OWID_WRL",1866,"Number of countries where homosexuality is legal",15
"152","World","OWID_WRL",1866,"Number of countries where homosexuality is illlegal",186
"153","World","OWID_WRL",1867,"Number of countries where homosexuality is legal",15
"154","World","OWID_WRL",1867,"Number of countries where homosexuality is illlegal",186
"155","World","OWID_WRL",1868,"Number of countries where homosexuality is legal",15
"156","World","OWID_WRL",1868,"Number of countries where homosexuality is illlegal",186
"157","World","OWID_WRL",1869,"Number of countries where homosexuality is legal",15
"158","World","OWID_WRL",1869,"Number of countries where homosexuality is illlegal",186
"159","World","OWID_WRL",1870,"Number of countries where homosexuality is legal",15
"160","World","OWID_WRL",1870,"Number of countries where homosexuality is illlegal",186
"161","World","OWID_WRL",1871,"Number of countries where homosexuality is legal",16
"162","World","OWID_WRL",1871,"Number of countries where homosexuality is illlegal",185
"163","World","OWID_WRL",1872,"Number of countries where homosexuality is legal",17
"164","World","OWID_WRL",1872,"Number of countries where homosexuality is illlegal",184
"165","World","OWID_WRL",1873,"Number of countries where homosexuality is legal",17
"166","World","OWID_WRL",1873,"Number of countries where homosexuality is illlegal",184
"167","World","OWID_WRL",1874,"Number of countries where homosexuality is legal",17
"168","World","OWID_WRL",1874,"Number of countries where homosexuality is illlegal",184
"169","World","OWID_WRL",1875,"Number of countries where homosexuality is legal",17
"170","World","OWID_WRL",1875,"Number of countries where homosexuality is illlegal",184
"171","World","OWID_WRL",1876,"Number of countries where homosexuality is legal",17
"172","World","OWID_WRL",1876,"Number of countries where homosexuality is illlegal",184
"173","World","OWID_WRL",1877,"Number of countries where homosexuality is legal",18
"174","World","OWID_WRL",1877,"Number of countries where homosexuality is illlegal",183
"175","World","OWID_WRL",1878,"Number of countries where homosexuality is legal",18
"176","World","OWID_WRL",1878,"Number of countries where homosexuality is illlegal",183
"177","World","OWID_WRL",1879,"Number of countries where homosexuality is legal",18
"178","World","OWID_WRL",1879,"Number of countries where homosexuality is illlegal",183
"179","World","OWID_WRL",1880,"Number of countries where homosexuality is legal",19
"180","World","OWID_WRL",1880,"Number of countries where homosexuality is illlegal",182
"181","World","OWID_WRL",1881,"Number of countries where homosexuality is legal",19
"182","World","OWID_WRL",1881,"Number of countries where homosexuality is illlegal",182
"183","World","OWID_WRL",1882,"Number of countries where homosexuality is legal",20
"184","World","OWID_WRL",1882,"Number of countries where homosexuality is illlegal",181
"185","World","OWID_WRL",1883,"Number of countries where homosexuality is legal",20
"186","World","OWID_WRL",1883,"Number of countries where homosexuality is illlegal",181
"187","World","OWID_WRL",1884,"Number of countries where homosexuality is legal",20
"188","World","OWID_WRL",1884,"Number of countries where homosexuality is illlegal",181
"189","World","OWID_WRL",1885,"Number of countries where homosexuality is legal",20
